City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,port hardy,50.6996,-127.4199,0.18000000000000682,49,0,8.15,CA,1667862534
181,harper,4.375,-7.7169,26.100000000000023,83,98,3.24,LR,1667863054
182,college,64.8569,-147.8028,-6.21999999999997,71,100,1.03,US,1667863054
183,san carlos de bariloche,-41.1456,-71.3082,17.860000000000014,39,0,7.2,AR,1667862800
184,bengkulu,-3.8004,102.2655,23.33000000000004,91,100,1.29,ID,1667863055
185,rio das pedras,-22.8433,-47.6061,16.920000000000016,69,3,6.17,BR,1667863055
186,clinton,42.587,-82.9199,11.680000000000007,51,20,4.12,US,1667863055
187,kushiro,42.975,144.3747,4.53000000000003,70,20,2.57,JP,1667863056
188,ancud,-41.8697,-73.8203,12.460000000000036,94,82,2.46,CL,1667863056
189,pincher creek,49.4833,-113.952,-16.17999999999995,85,100,4.63,CA,1667862854
190,morant bay,17.8815,-76.4093,26.79000000000002,75,47,0.41,JM,1667863060
191,senneterre,48.3835,-77.2328,1.8100000000000023,71,86,6.39,CA,1667863089
192,naze,28.3667,129.4833,19.510000000000048,64,12,4.45,JP,1667863089
193,el alto,-4.2714,-81.2147,17.810000000000002,83,22,7.9,PE,1667863090
194,dunedin,-45.8742,170.5036,14.680000000000007,69,64,3.01,NZ,1667863090
195,pokosnoye,55.5258,101.0536,-5.609999999999957,87,99,3.59,RU,1667863091
196,singkawang,0.9,109.0,24.189999999999998,94,100,1.23,ID,1667863091
197,santa cruz,-17.8,-63.1667,29.03000000000003,37,0,3.09,BO,1667862975
198,homer,59.6425,-151.5483,3.7800000000000296,79,100,7.15,US,1667862833
199,leh,34.1667,77.5833,-3.1399999999999864,73,45,0.9,IN,1667862967
200,gold coast,-28.0,153.4333,24.32000000000005,79,40,5.14,AU,1667863070
201,shimoda,34.6667,138.95,17.200000000000045,66,0,3.54,JP,1667863092
202,constitucion,-35.3333,-72.4167,13.75,78,100,5.5,CL,1667862515
203,monrovia,6.3005,-10.7969,25.610000000000014,85,94,1.83,LR,1667862517
204,ipira,-12.1583,-39.7372,22.28000000000003,70,89,7.11,BR,1667863093
205,longyearbyen,78.2186,15.6401,-4.089999999999975,80,75,5.14,SJ,1667863094
206,komsomolskiy,40.4272,71.7189,9.400000000000034,76,75,1.03,UZ,1667863095
